name,max_stroke_mm,max_applied_load_Fz,max_applied_load_Fy,max_moment_Mx,max_moment_My,max_moment_Mz,max_effective_action_force_border_1,max_effective_action_force_border_2,max_effective_action_force_1,max_effective_action_force_2,max_effective_action_force_3,max_speed,max_acc,pulley_circumference_mm,carriage_mass,no_load_torque
OSPE-BHD1-20,5750,1600,1600,21,150,150,1,3,550,450,-1,3,50,125,0.8,0.6
OSPE-BHD1-25,6700,3000,2000,50,500,500,1,3,1070,890,550,5,50,180,1.5,1.2
OSPE-BHD1- 32,5600,10000,5000,120,1400,1000,1,3,1870,1560,1030,5,50,240,2.6,2.2
OSPE-BHD1-50,5500,15000,12000,180,2500,1800,1,3,3120,2660,1940,5,50,350,7.8,3.2
OSPE-BHD2-25,7000,986,986,11,64,64,1,3,1070,1870,3120,10,40,180,1,1.2
OSPE-BHD2-32,7000,1348,1348,19,115,115,1,3,890,1560,2660,10,40,240,1.9,2.2
OSPE-BHD2-50,7000,3704,3704,87,365,365,1,3,550,1030,1940,10,40,350,4.7,3.2
OSPE-BV-20,1000,1600,1600,20,100,100,1,2,650,450,-1,3,20,108,1.6,0.6
OSPE-BV-25,1500,3000,2000,50,200,200,1,2,1430,1200,1050,5,20,160,2.4,1.2
OSPE-B-25,3000,160,-1,2,12,2.6,1,2,50,50,-1,2,10,60,0.2,0.4
OSPE-B-32,5000,300,-1,8,25,4.9,1,2,150,120,100,3,10,60,0.4,0.5
OSPE-B-50,5000,850,-1,16,80,9.6,1,2,425,375,300,5,10,100,1,0.6
OSPE-SB-25,1100,500,-1,2,12,8,-1,-1,-1,-1,-1,0.25,50,5,0.2,0.2
OSPE-SB-32-5,2000,1200,-1,8,25,16,-1,-1,-1,-1,-1,0.25,50,5,0.4,0.2
OSPE-SB-32-10,2000,1200,-1,8,25,16,-1,-1,-1,-1,-1,0.5,50,10,0.4,0.3
OSPE-SB-50-5,3200,3000,-1,16,80,32,-1,-1,-1,-1,-1,0.25,50,5,1.2,0.3
OSPE-SB-50-10,3200,3000,-1,16,80,32,-1,-1,-1,-1,-1,0.5,50,10,1.2,0.4
OSPE-SB-50-25,3200,3000,-1,16,80,32,-1,-1,-1,-1,-1,1.25,50,25,1.2,0.5
OSPE-ST-25,1100,500,-1,2,24,7,-1,-1,-1,-1,-1,0.1,50,4,0.2,0.3
OSPE-ST-32,2000,1000,-1,6,65,12,-1,-1,-1,-1,-1,0.1,50,4,0.5,0.4
OSPE-ST-50,2500,1500,-1,13,155,26,-1,-1,-1,-1,-1,0.15,50,4,1.3,0.5
HMRS-08-5,1200,1800,1800,45,80,80,-1,-1,-1,-1,-1,0.25,10,5,1,0.2
HMRS-08-12,1200,1800,1800,45,80,80,-1,-1,-1,-1,-1,0.6,10,12,0.7,0.2
HMRS-11-5,1500,4450,4450,155,200,200,-1,-1,-1,-1,-1,0.25,10,5,1.6,0.3
HMRS-11-16,1500,4450,4450,155,200,200,-1,-1,-1,-1,-1,0.8,10,16,1.3,0.4
HMRS-15-5,2500,8800,8800,430,560,560,-1,-1,-1,-1,-1,0.25,10,5,2.6,0.7
HMRS-15-20,2500,8800,8800,430,560,560,-1,-1,-1,-1,-1,1,10,20,1.8,0.9
HMRS-18-10,3400,16200,1620,940,1230,1230,-1,-1,-1,-1,-1,0.5,10,10,4.7,0.9
HMRS-18-25,3400,16200,16200,940,1230,1230,-1,-1,-1,-1,-1,1.25,10,25,3.7,1
HMRS-24-10,4000,26600,26600,2150,2430,2430,-1,-1,-1,-1,-1,0.5,10,10,9.2,1
HMRS-24-32,4000,26600,26600,2150,2430,2430,-1,-1,-1,-1,-1,1.6,10,32,7.3,1.1
HMRB-08,3000,1800,1800,45,80,80,1,2,295,295,-1,2,30,66,0.9,1
HMRB-11,4000,4450,4450,155,200,200,1,2,630,550,-1,2,30,90,1.7,1.2
HMRB-15,6000,8800,8800,430,560,560,1,2,1050,930,930,5,50,100,2.7,1.2
HMRB-18,6000,16200,16200,940,1230,1230,1,2,1300,1300,1300,5,50,130,4.6,2
HMRB-24,6000,2660,2660,2150,2430,2430,1,2,4000,4000,3650,5,50,160,9,4
